equipment_id,date,days_since_last_service,maintenance_count_30d,maintenance_count_60d,maintenance_count_90d,equipment_class,unit,nmc_within_7d
EQ-00059,2024-07-15,11,5,7,8,aviation,HHC,False
EQ-00060,2024-02-04,53,2,4,5,engineer,HHC,False
EQ-00061,2024-09-01,180,3,9,14,engineer,1-3 BN,False
EQ-00062,2024-06-29,109,4,4,4,aviation,2-1 BN,False
EQ-00063,2024-09-05,32,7,12,16,engineer,DIV CAV,False
EQ-00064,2024-05-29,173,1,2,5,comms,2-1 BN,True
EQ-00065,2024-04-01,20,1,2,4,aviation,1-2 BN,False
EQ-00066,2024-09-11,134,0,2,5,tracked,DIV CAV,False
EQ-00067,2024-03-08,114,0,2,3,comms,BSB,False
EQ-00068,2024-04-28,106,5,10,15,engineer,2-1 BN,False
EQ-00069,2024-10-30,114,7,9,13,engineer,BSB,False
EQ-00070,2024-06-05,59,7,9,11,tracked,1-1 BN,False
EQ-00071,2024-03-16,43,2,7,11,aviation,1-2 BN,False
EQ-00072,2024-12-28,30,0,2,6,tracked,1-3 BN,False
EQ-00073,2024-07-08,9,5,7,8,tracked,DIV CAV,False
EQ-00074,2024-03-24,7,6,9,10,engineer,1-3 BN,False
EQ-00075,2024-03-20,140,8,10,15,wheeled,2-1 BN,False
EQ-00076,2024-05-28,145,7,9,14,engineer,2-1 BN,True
EQ-00077,2024-01-21,30,4,4,7,tracked,1-2 BN,False
EQ-00078,2024-08-16,15,3,7,11,aviation,BSB,False
EQ-00079,2024-05-22,,8,14,17,tracked,1-1 BN,False
EQ-00080,2024-09-19,82,8,8,13,comms,1-2 BN,False
EQ-00081,2024-08-06,4,4,6,8,aviation,2-1 BN,False
EQ-00082,2024-10-14,114,6,12,15,wheeled,BSB,False
EQ-00083,2024-08-05,151,1,2,3,comms,BSB,False
EQ-00084,2024-09-25,152,6,6,6,aviation,1-3 BN,False
EQ-00085,2024-07-31,146,2,3,4,tracked,1-3 BN,False
EQ-00086,2024-10-10,,4,10,14,comms,DIV CAV,False
EQ-00087,2024-08-25,,0,1,3,tracked,HHC,False
EQ-00088,2024-11-21,171,4,7,8,comms,HHC,False
EQ-00089,2024-11-26,,4,7,7,tracked,1-3 BN,False
EQ-00090,2024-10-24,67,7,12,12,comms,HHC,False
EQ-00091,2024-10-21,42,0,1,3,wheeled,HHC,False
EQ-00092,2024-03-10,70,5,8,13,aviation,1-3 BN,False
EQ-00093,2024-01-25,164,1,5,6,aviation,1-2 BN,False
EQ-00094,2024-02-18,140,5,11,13,engineer,HHC,False
EQ-00095,2024-06-03,177,5,5,9,aviation,BSB,False
EQ-00096,2024-03-14,73,5,11,14,wheeled,1-2 BN,False
EQ-00097,2024-02-22,57,3,9,13,tracked,BSB,False
EQ-00098,2024-09-26,180,1,4,7,engineer,1-1 BN,False
EQ-00099,2024-03-08,80,5,6,9,wheeled,DIV CAV,False
EQ-00100,2024-09-24,78,0,5,5,aviation,BSB,False
EQ-00101,2024-12-21,79,2,3,4,tracked,2-1 BN,False
EQ-00102,2024-12-19,124,6,6,7,wheeled,BSB,True
EQ-00103,2024-12-03,121,1,3,3,engineer,HHC,True
EQ-00104,2024-01-06,155,3,7,8,wheeled,1-3 BN,False
EQ-00105,2024-01-15,72,5,7,8,wheeled,BSB,False
EQ-00106,2024-11-09,18,1,7,11,tracked,DIV CAV,False
EQ-00107,2024-04-21,44,8,8,13,tracked,1-2 BN,True
EQ-00108,2024-09-15,151,2,5,10,comms,1-2 BN,False
EQ-00109,2024-06-30,132,3,6,6,comms,1-3 BN,False
EQ-00110,2024-03-04,35,7,13,15,comms,DIV CAV,False
EQ-00111,2024-01-21,30,6,8,11,wheeled,1-3 BN,False
EQ-00112,2024-12-17,105,4,10,13,comms,1-1 BN,False
EQ-00113,2024-08-31,173,7,12,12,aviation,DIV CAV,False
EQ-00114,2024-12-03,102,6,11,15,wheeled,HHC,False
EQ-00115,2024-03-27,51,5,6,10,wheeled,2-1 BN,False
EQ-00116,2024-03-03,128,4,10,15,tracked,DIV CAV,False
EQ-00117,2024-05-19,171,6,9,13,comms,BSB,False
EQ-00118,2024-08-20,126,7,8,13,wheeled,1-1 BN,False
EQ-00119,2024-02-20,128,0,1,4,wheeled,1-3 BN,False
EQ-00120,2024-03-19,25,1,6,10,aviation,BSB,False
EQ-00121,2024-08-26,128,7,11,13,tracked,BSB,False
EQ-00122,2024-10-03,,0,3,3,engineer,1-3 BN,False
EQ-00123,2024-07-11,9,2,6,11,comms,1-3 BN,False
EQ-00124,2024-12-27,35,4,9,12,tracked,1-1 BN,False
EQ-00125,2024-10-18,176,8,12,15,comms,BSB,False
EQ-00126,2024-03-21,68,7,11,14,engineer,1-3 BN,False
EQ-00127,2024-05-25,152,0,1,3,aviation,HHC,False
EQ-00128,2024-10-25,161,5,8,8,wheeled,1-3 BN,False
EQ-00129,2024-07-29,63,3,4,9,aviation,1-1 BN,False
EQ-00130,2024-12-18,30,5,6,6,wheeled,1-1 BN,False
EQ-00131,2024-08-23,108,4,4,9,comms,1-1 BN,False
EQ-00132,2024-06-11,83,1,7,10,comms,HHC,False
EQ-00133,2024-04-15,171,5,6,10,aviation,2-1 BN,False
EQ-00134,2024-04-13,20,8,9,11,comms,1-3 BN,False
EQ-00135,2024-10-20,160,1,6,10,comms,1-3 BN,True
EQ-00136,2024-05-19,136,7,10,11,wheeled,1-1 BN,False
EQ-00137,2024-11-29,77,6,11,15,aviation,2-1 BN,False
EQ-00138,2024-07-24,117,8,9,9,aviation,DIV CAV,False
EQ-00139,2024-04-05,170,7,9,14,engineer,DIV CAV,False
EQ-00140,2024-08-10,16,8,9,11,engineer,1-2 BN,False
EQ-00141,2024-03-18,106,5,11,11,aviation,BSB,False
EQ-00142,2024-07-30,166,2,4,9,aviation,2-1 BN,False
EQ-00143,2024-05-02,8,3,9,11,wheeled,DIV CAV,False
EQ-00144,2024-08-11,10,3,4,6,comms,1-3 BN,False
EQ-00145,2024-05-22,11,7,13,13,engineer,1-1 BN,True
EQ-00146,2024-06-09,17,6,8,13,engineer,1-1 BN,False
EQ-00147,2024-07-22,147,8,8,12,tracked,DIV CAV,False
EQ-00148,2024-09-25,24,3,7,7,aviation,1-3 BN,False
EQ-00149,2024-06-17,61,6,7,8,engineer,1-2 BN,False
EQ-00150,2024-05-20,151,0,3,7,comms,1-1 BN,False
EQ-00151,2024-06-11,175,3,5,6,engineer,HHC,False
EQ-00152,2024-07-07,,0,6,11,aviation,1-1 BN,False
EQ-00153,2024-12-19,99,4,9,14,tracked,BSB,False
EQ-00154,2024-12-16,61,7,10,10,wheeled,2-1 BN,False
EQ-00155,2024-05-10,61,4,5,6,aviation,HHC,False
EQ-00156,2024-06-11,71,1,7,10,comms,2-1 BN,False
EQ-00157,2024-06-19,26,2,7,9,comms,1-3 BN,False
EQ-00158,2024-08-03,141,5,8,13,engineer,1-1 BN,True
EQ-00159,2024-11-24,165,2,2,5,tracked,1-3 BN,False
EQ-00160,2024-06-09,41,3,7,12,engineer,BSB,False
EQ-00161,2024-11-28,176,6,12,14,tracked,BSB,False
EQ-00162,2024-03-09,152,5,11,13,aviation,2-1 BN,False
EQ-00163,2024-07-07,97,3,3,3,tracked,HHC,False
EQ-00164,2024-11-09,119,3,5,10,tracked,1-1 BN,False
EQ-00165,2024-07-24,67,2,2,4,engineer,DIV CAV,False
EQ-00166,2024-03-01,112,7,13,18,wheeled,1-2 BN,False
EQ-00167,2024-12-31,69,4,9,12,tracked,2-1 BN,False
EQ-00168,2024-04-15,73,3,6,7,engineer,1-2 BN,False
EQ-00169,2024-01-15,61,7,8,10,aviation,HHC,False
EQ-00170,2024-08-22,,2,8,10,wheeled,2-1 BN,False
EQ-00171,2024-12-17,109,4,4,4,tracked,1-1 BN,False
EQ-00172,2024-06-19,91,0,0,2,tracked,2-1 BN,False
EQ-00173,2024-06-03,34,8,8,12,comms,1-2 BN,False
EQ-00174,2024-09-14,120,2,2,4,comms,2-1 BN,False
EQ-00175,2024-03-13,12,2,5,7,aviation,2-1 BN,False
EQ-00176,2024-05-24,68,8,10,13,aviation,1-3 BN,False
EQ-00177,2024-09-08,169,7,7,8,tracked,1-2 BN,True
EQ-00178,2024-04-03,42,7,10,10,wheeled,2-1 BN,False
EQ-00179,2024-01-21,144,7,10,13,comms,HHC,True
EQ-00180,2024-03-16,53,4,5,6,wheeled,BSB,False
EQ-00181,2024-05-19,150,3,7,7,engineer,DIV CAV,False
EQ-00182,2024-04-02,64,7,12,12,comms,1-1 BN,False
EQ-00183,2024-05-25,152,1,7,9,wheeled,1-1 BN,False
EQ-00184,2024-08-23,69,0,2,2,comms,2-1 BN,False
EQ-00185,2024-06-15,13,4,6,6,engineer,DIV CAV,False
EQ-00186,2024-11-04,66,2,3,6,comms,BSB,False
EQ-00187,2024-04-16,104,4,9,14,tracked,1-3 BN,False
EQ-00188,2024-09-08,80,2,4,9,comms,1-3 BN,False
EQ-00189,2024-09-19,100,7,9,13,tracked,1-1 BN,False
EQ-00190,2024-08-04,112,6,6,6,aviation,2-1 BN,False
EQ-00191,2024-12-12,40,7,11,16,tracked,1-1 BN,False
EQ-00192,2024-05-28,123,4,5,6,comms,1-3 BN,False
EQ-00193,2024-05-07,146,0,4,4,engineer,DIV CAV,False
EQ-00194,2024-02-25,25,7,12,17,engineer,1-3 BN,False
EQ-00195,2024-06-30,129,0,0,5,aviation,1-2 BN,False
EQ-00196,2024-04-03,,6,11,13,comms,HHC,False
EQ-00197,2024-08-20,68,5,11,12,comms,1-1 BN,False
EQ-00198,2024-11-05,28,6,10,10,aviation,1-1 BN,True
EQ-00199,2024-01-07,118,6,12,17,tracked,DIV CAV,False
EQ-00200,2024-09-06,158,5,10,15,aviation,HHC,False
EQ-00201,2024-07-21,35,0,1,1,aviation,HHC,False
EQ-00202,2024-04-06,167,2,7,8,wheeled,HHC,False
EQ-00203,2024-10-02,119,2,5,8,tracked,1-2 BN,True
EQ-00204,2024-03-19,121,0,6,9,comms,1-2 BN,False
EQ-00205,2024-05-30,101,0,2,2,engineer,BSB,False
EQ-00206,2024-12-31,127,8,10,10,comms,2-1 BN,False
EQ-00207,2024-09-19,174,7,8,13,engineer,1-1 BN,True
EQ-00208,2024-08-04,17,4,9,12,engineer,1-1 BN,False
EQ-00209,2024-09-10,89,7,12,15,engineer,1-3 BN,True
EQ-00210,2024-04-08,60,8,9,13,comms,1-3 BN,False
EQ-00211,2024-11-04,76,6,9,14,comms,1-3 BN,False
EQ-00212,2024-08-29,73,1,6,9,tracked,1-2 BN,False
EQ-00213,2024-03-21,107,7,9,10,engineer,1-1 BN,False
EQ-00214,2024-01-10,92,2,3,7,aviation,1-1 BN,True
EQ-00215,2024-06-21,59,1,5,6,comms,1-3 BN,False
EQ-00216,2024-06-30,143,4,5,10,wheeled,DIV CAV,False
EQ-00217,2024-12-08,113,7,13,13,wheeled,BSB,False
EQ-00218,2024-11-08,27,8,8,12,engineer,HHC,False
EQ-00219,2024-03-01,41,4,9,12,tracked,2-1 BN,False
EQ-00220,2024-02-20,86,2,2,3,tracked,2-1 BN,False
EQ-00221,2024-01-04,122,5,7,11,tracked,1-3 BN,False
EQ-00222,2024-07-09,171,3,4,8,comms,1-2 BN,False
EQ-00223,2024-03-11,105,7,13,17,comms,1-3 BN,False
EQ-00224,2024-01-16,3,8,8,8,comms,2-1 BN,False
EQ-00225,2024-03-25,10,2,6,6,comms,HHC,False
EQ-00226,2024-12-04,108,6,11,16,engineer,1-3 BN,False
EQ-00227,2024-06-09,,4,8,12,aviation,HHC,False
EQ-00228,2024-07-25,140,7,12,14,comms,BSB,False
EQ-00229,2024-11-28,78,1,1,5,comms,HHC,False
EQ-00230,2024-03-05,73,3,3,7,engineer,DIV CAV,False
EQ-00231,2024-06-23,,8,12,14,tracked,BSB,False
EQ-00232,2024-06-04,29,0,6,8,comms,DIV CAV,False
EQ-00233,2024-06-30,,1,4,6,wheeled,1-1 BN,False
EQ-00234,2024-08-20,149,8,14,18,aviation,1-3 BN,False
EQ-00235,2024-05-25,97,8,13,14,engineer,DIV CAV,False
EQ-00236,2024-10-25,93,7,7,8,tracked,BSB,False
EQ-00237,2024-07-29,109,2,5,6,wheeled,1-3 BN,False
EQ-00238,2024-12-12,144,8,14,17,engineer,DIV CAV,False
EQ-00239,2024-09-12,177,7,12,15,comms,1-2 BN,False
EQ-00240,2024-09-15,118,2,7,11,tracked,1-1 BN,False
EQ-00241,2024-12-21,9,2,6,8,tracked,1-1 BN,False
EQ-00242,2024-11-04,95,4,4,8,comms,1-3 BN,False
EQ-00243,2024-06-05,125,0,6,7,aviation,DIV CAV,False
EQ-00244,2024-08-03,79,4,5,6,wheeled,2-1 BN,False
EQ-00245,2024-01-02,18,0,3,6,wheeled,DIV CAV,False
EQ-00246,2024-08-19,122,2,8,9,aviation,2-1 BN,False
EQ-00247,2024-08-18,84,1,7,11,comms,2-1 BN,False
EQ-00248,2024-07-17,87,8,8,13,tracked,HHC,False
EQ-00249,2024-05-22,7,4,8,13,wheeled,DIV CAV,False
EQ-00250,2024-02-13,139,0,4,8,tracked,2-1 BN,False
EQ-00251,2024-09-14,137,2,2,4,wheeled,1-2 BN,False
EQ-00252,2024-12-27,137,5,8,12,engineer,BSB,True
EQ-00253,2024-01-12,107,0,6,10,aviation,1-3 BN,False
EQ-00254,2024-02-16,139,2,4,5,wheeled,BSB,False
EQ-00255,2024-02-15,105,2,2,6,tracked,1-2 BN,False
EQ-00256,2024-01-14,26,5,6,9,wheeled,1-3 BN,False
EQ-00257,2024-07-11,62,3,6,10,wheeled,2-1 BN,False
EQ-00258,2024-02-28,119,8,11,11,aviation,2-1 BN,False
EQ-00259,2024-11-20,5,4,8,12,tracked,1-2 BN,False
EQ-00260,2024-10-11,105,7,7,12,tracked,BSB,False
EQ-00261,2024-03-13,44,3,7,10,aviation,DIV CAV,False
EQ-00262,2024-08-19,,7,13,17,wheeled,1-2 BN,False
EQ-00263,2024-01-01,124,4,8,10,wheeled,2-1 BN,False
EQ-00264,2024-06-28,131,4,4,5,tracked,DIV CAV,False
EQ-00265,2024-02-05,179,1,7,8,aviation,1-3 BN,False
EQ-00266,2024-08-09,82,5,10,12,tracked,HHC,False
EQ-00267,2024-08-19,83,5,6,9,aviation,1-3 BN,False
EQ-00268,2024-01-09,1,7,7,7,tracked,2-1 BN,False
EQ-00269,2024-10-11,138,1,7,12,comms,DIV CAV,False
EQ-00270,2024-01-16,91,6,12,16,comms,1-2 BN,False
EQ-00271,2024-12-22,95,3,6,6,wheeled,1-1 BN,False
EQ-00272,2024-05-23,158,4,10,15,aviation,2-1 BN,False
EQ-00273,2024-07-04,156,3,3,4,wheeled,HHC,False
EQ-00274,2024-07-21,146,8,11,12,wheeled,HHC,False
EQ-00275,2024-10-16,17,2,7,7,engineer,DIV CAV,False
EQ-00276,2024-04-26,71,3,9,14,engineer,HHC,True
EQ-00277,2024-12-13,175,8,11,11,engineer,HHC,False
EQ-00278,2024-12-10,83,6,12,15,wheeled,HHC,False
EQ-00279,2024-09-22,133,0,5,6,comms,2-1 BN,True
EQ-00280,2024-09-29,101,3,5,5,comms,BSB,False
EQ-00281,2024-01-13,109,1,2,3,tracked,1-3 BN,False
EQ-00282,2024-02-02,,6,12,12,wheeled,HHC,False
EQ-00283,2024-06-20,122,3,5,5,aviation,DIV CAV,False
EQ-00284,2024-05-01,159,7,13,13,wheeled,DIV CAV,False
EQ-00285,2024-03-04,9,6,8,13,wheeled,1-2 BN,True
EQ-00286,2024-02-01,157,6,6,6,comms,DIV CAV,False
EQ-00287,2024-01-27,103,1,5,8,aviation,DIV CAV,False
EQ-00288,2024-12-03,,6,9,12,engineer,DIV CAV,False
EQ-00289,2024-02-21,173,0,3,7,aviation,1-2 BN,False
EQ-00290,2024-02-25,,1,5,6,wheeled,1-2 BN,False
EQ-00291,2024-11-22,108,7,12,16,engineer,1-2 BN,False
EQ-00292,2024-03-11,80,6,10,15,wheeled,1-3 BN,False
EQ-00293,2024-10-25,38,7,9,13,engineer,1-3 BN,False
EQ-00294,2024-01-05,174,2,2,3,engineer,BSB,False
EQ-00295,2024-10-13,51,3,8,9,wheeled,1-3 BN,False
EQ-00296,2024-04-06,120,5,11,15,comms,1-3 BN,False
EQ-00297,2024-11-11,42,1,4,4,aviation,1-1 BN,False
EQ-00298,2024-11-23,120,3,4,7,tracked,BSB,False
EQ-00299,2024-06-18,48,0,2,2,comms,1-1 BN,False
EQ-00300,2024-10-11,113,3,8,12,wheeled,1-3 BN,False
EQ-00301,2024-01-23,73,2,3,5,wheeled,1-3 BN,False
EQ-00302,2024-10-10,6,2,8,10,tracked,1-1 BN,False
EQ-00303,2024-12-12,29,5,6,8,tracked,1-3 BN,False
EQ-00304,2024-07-09,160,6,11,11,tracked,1-2 BN,True
EQ-00305,2024-04-07,178,5,7,11,tracked,HHC,False
EQ-00306,2024-05-05,151,3,9,13,wheeled,1-2 BN,False
EQ-00307,2024-06-16,72,2,8,12,tracked,2-1 BN,False
EQ-00308,2024-04-17,170,1,2,6,wheeled,HHC,False
EQ-00309,2024-09-17,119,2,4,9,aviation,HHC,False
EQ-00310,2024-09-04,149,6,11,15,comms,1-2 BN,False
EQ-00311,2024-04-22,61,6,7,9,tracked,2-1 BN,False
EQ-00312,2024-10-19,96,4,8,8,tracked,1-1 BN,False
EQ-00313,2024-05-31,59,0,3,7,comms,2-1 BN,False
EQ-00314,2024-08-18,95,7,9,11,comms,1-2 BN,False
EQ-00315,2024-08-14,20,5,5,7,tracked,DIV CAV,False
EQ-00316,2024-10-06,59,1,1,1,wheeled,DIV CAV,False
EQ-00317,2024-04-12,85,4,6,11,aviation,HHC,False
EQ-00318,2024-05-20,36,8,10,10,tracked,1-3 BN,False
EQ-00319,2024-06-26,149,0,3,8,comms,BSB,False
EQ-00320,2024-03-17,54,7,8,12,comms,DIV CAV,False
EQ-00321,2024-08-27,22,5,11,12,comms,HHC,False
EQ-00322,2024-08-01,143,0,2,3,tracked,1-2 BN,False
EQ-00323,2024-06-05,169,5,7,8,wheeled,HHC,False
EQ-00324,2024-07-25,151,0,4,4,engineer,1-2 BN,False
EQ-00325,2024-06-18,155,6,9,10,engineer,1-1 BN,False
EQ-00326,2024-09-30,28,5,9,12,comms,1-3 BN,False
EQ-00327,2024-02-17,142,2,2,7,tracked,1-1 BN,False
EQ-00328,2024-04-05,99,4,5,6,tracked,DIV CAV,False
EQ-00329,2024-02-05,133,0,1,3,comms,2-1 BN,False
EQ-00330,2024-07-19,34,8,11,14,tracked,2-1 BN,False
EQ-00331,2024-04-15,80,6,12,17,tracked,1-2 BN,False
EQ-00332,2024-11-05,151,3,7,12,engineer,1-3 BN,False
EQ-00333,2024-04-13,115,1,7,10,wheeled,1-2 BN,False
EQ-00334,2024-09-26,126,7,10,14,aviation,1-1 BN,True
EQ-00335,2024-05-27,77,6,10,11,comms,1-2 BN,False
EQ-00336,2024-11-12,169,2,7,11,comms,HHC,True
EQ-00337,2024-01-23,41,4,9,13,tracked,1-1 BN,False
EQ-00338,2024-12-23,106,8,8,10,tracked,1-1 BN,True
EQ-00339,2024-09-15,43,4,5,9,aviation,1-1 BN,True
EQ-00340,2024-02-07,103,3,6,6,comms,1-1 BN,True
EQ-00341,2024-12-29,119,7,10,10,tracked,HHC,True
EQ-00342,2024-05-04,72,2,3,3,comms,1-2 BN,False
EQ-00343,2024-05-30,101,2,2,7,wheeled,HHC,False
EQ-00344,2024-05-19,46,3,8,8,tracked,DIV CAV,False
EQ-00345,2024-04-20,163,8,13,18,comms,1-1 BN,False
EQ-00346,2024-07-18,154,0,0,3,aviation,1-2 BN,False
EQ-00347,2024-07-10,5,6,6,6,tracked,1-2 BN,False
EQ-00348,2024-12-14,25,2,7,8,wheeled,DIV CAV,True
EQ-00349,2024-02-25,161,3,7,8,aviation,2-1 BN,False
EQ-00350,2024-08-07,28,5,7,8,wheeled,HHC,True
EQ-00351,2024-06-10,118,3,3,8,wheeled,HHC,False
EQ-00352,2024-11-15,,3,6,8,aviation,2-1 BN,False
EQ-00353,2024-02-22,146,2,4,4,engineer,HHC,False
EQ-00354,2024-12-22,178,2,4,5,comms,HHC,False
EQ-00355,2024-06-11,5,7,10,14,comms,1-2 BN,False
EQ-00356,2024-09-14,4,3,3,7,engineer,1-1 BN,False
EQ-00357,2024-06-07,63,1,1,2,tracked,1-3 BN,False
EQ-00358,2024-04-13,165,0,1,6,tracked,2-1 BN,False
EQ-00359,2024-06-17,165,0,4,7,tracked,1-3 BN,False
EQ-00360,2024-01-13,85,5,6,7,tracked,HHC,False
EQ-00361,2024-05-07,98,8,10,11,tracked,1-1 BN,False
EQ-00362,2024-02-03,50,0,5,6,comms,1-2 BN,False
EQ-00363,2024-02-16,53,3,7,7,tracked,2-1 BN,False
EQ-00364,2024-06-08,63,6,7,11,tracked,1-3 BN,False
EQ-00365,2024-10-22,52,4,10,13,comms,1-3 BN,False
EQ-00366,2024-07-22,113,6,10,14,comms,BSB,False
EQ-00367,2024-03-20,,6,9,9,comms,1-3 BN,False
EQ-00368,2024-10-31,45,4,7,10,engineer,1-3 BN,False
EQ-00369,2024-07-11,19,5,6,11,engineer,1-2 BN,False
EQ-00370,2024-04-07,,8,13,18,wheeled,2-1 BN,False
EQ-00371,2024-07-31,96,6,9,11,comms,DIV CAV,False
EQ-00372,2024-02-06,32,6,10,11,comms,2-1 BN,False
EQ-00373,2024-05-10,126,5,10,10,aviation,2-1 BN,False
EQ-00374,2024-05-06,93,0,5,10,tracked,1-3 BN,False
EQ-00375,2024-11-05,38,4,5,9,comms,HHC,False
EQ-00376,2024-03-23,24,6,9,14,wheeled,1-1 BN,False
EQ-00377,2024-09-22,43,6,8,13,tracked,DIV CAV,False
EQ-00378,2024-12-03,106,1,1,6,comms,BSB,False
EQ-00379,2024-06-25,54,6,11,13,tracked,1-2 BN,True
EQ-00380,2024-09-08,179,6,10,13,wheeled,HHC,False
EQ-00381,2024-08-08,48,2,3,6,tracked,1-1 BN,False
EQ-00382,2024-08-18,48,3,3,8,engineer,BSB,False
EQ-00383,2024-04-08,105,7,12,16,aviation,HHC,True
EQ-00384,2024-03-26,97,1,3,3,wheeled,DIV CAV,False
EQ-00385,2024-04-30,26,0,0,2,comms,1-1 BN,False
EQ-00386,2024-12-06,11,1,2,6,engineer,2-1 BN,False
EQ-00387,2024-11-04,69,7,10,12,engineer,1-3 BN,False
EQ-00388,2024-07-08,62,5,10,13,aviation,1-1 BN,False
EQ-00389,2024-07-01,1,7,13,18,aviation,BSB,False
EQ-00390,2024-03-12,136,4,9,10,wheeled,DIV CAV,False
EQ-00391,2024-12-17,170,3,3,8,comms,BSB,False
EQ-00392,2024-06-13,12,5,10,13,wheeled,2-1 BN,False
EQ-00393,2024-07-23,90,6,9,14,engineer,1-1 BN,False
EQ-00394,2024-07-16,37,8,12,17,aviation,1-2 BN,False
EQ-00395,2024-09-11,173,8,14,17,wheeled,2-1 BN,False
EQ-00396,2024-02-29,62,3,4,5,comms,HHC,False
EQ-00397,2024-12-24,8,2,4,7,wheeled,1-2 BN,False
EQ-00398,2024-05-11,172,1,6,7,comms,HHC,False
EQ-00399,2024-09-08,86,3,7,11,wheeled,1-3 BN,False
EQ-00400,2024-07-12,144,6,12,13,comms,1-1 BN,False
EQ-00401,2024-05-28,88,3,8,8,wheeled,1-2 BN,False
EQ-00402,2024-06-09,1,4,4,8,comms,BSB,False
EQ-00403,2024-07-17,94,2,6,11,comms,1-2 BN,False
EQ-00404,2024-02-24,,7,9,10,comms,1-3 BN,False
EQ-00405,2024-04-22,38,4,5,10,comms,BSB,False
EQ-00406,2024-12-25,80,8,13,13,wheeled,BSB,False
